id,@id,access,access:covid19,addr:city,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,air_conditioning,alt_name,amenity,area,artwork_type,bar,bench,bicycle,bin,board_type,branch,brewery,brewery:Pils,brewery:Weizen,brewery:helles,brewery:pils,brewery:weizen,bridge,bridge:structure,building,building:colour,building:levels,building:part,bus,capacity,capacity:biergarten,capacity:disabled,capacity:pub,changing_table,changing_table:location,check_date,check_date:cycleway:surface,check_date:opening_hours,check_date:smoking,check_date:toilets:wheelchair,class:bicycle,clothes,club,cocktails,colour,comment,contact:email,contact:facebook,contact:fax,contact:instagram,contact:mobile,contact:phone,contact:twitter,contact:website,contact:yelp,content,craft,created_by,cruising,cuisine,currency:EUR,currency:XBT,cycleway:both,cycleway:left,cycleway:right,cycleway:surface,delivery,delivery_hours,description,description:de,designation,destination,destination:colour,destination:lanes,destination:ref,destination:symbol,diet:halal,diet:kosher,diet:vegan,diet:vegetarian,disused:amenity,disused:shop,drink:beer,drink:club-mate,drink:coffee,drink:tea,drink:wine,drive_through,dual_carriageway,ele,email,end_date,entrance,est_height,event,fax,fee,fee:icom_member,female,fetish:bears,fetish:jeans,fetish:leather,fetish:rubber,fetish:sneakers,fetish:uniform,fixme,food,foot,footway:surface,from,full_name,gambling,games,gtfs:feed,gtfs:route_id,gtfs:shape_id,gtfs:trip_id:like,gtfs:trip_id:sample,hairdresser,happy_hours,healthcare,healthcare:speciality,height,heritage,heritage:operator,hgv,highway,historic,horse,identity,image,incline,indoor,indoor_seating,industrial,information,inscription,instagram,interaction,internet_access,internet_access:fee,internet_access:ssid,karaoke,kerb,kerb:height,landuse,lane_markings,lanes,layer,leisure,level,lgbtq,lgbtq:men,lit,live_music,loc_name,location,lockable,male,man_made,mapillary,material,max_age,maxheight,maxspeed,maxspeed:type,memorial,microbrewery,min_age,mobile,moped,motor_vehicle,motorcar,motorroad,music_genre,mvv:zone,name,name:de,name:en,name:etymology,name:etymology:wikidata,name:it,name:ru,name:signed,name:zh,narrow,network,network:area,network:guid,network:short,network:wikidata,network:wikipedia,nohousenumber,note,office,official_name,old_name,old_opening_hours,old_website,oneway,opening_hours,opening_hours:covid19,opening_hours:kitchen,opening_hours:signed,opening_hours:url,operator,operator:short,operator:type,organic,origin,outdoor_area,outdoor_seating,parking:both,parking:both:restriction,parking:condition:both,parking:lane:both,parking:left,parking:left:fee,parking:left:orientation,parking:right,parking:right:restriction,payment:american_express,payment:apple_pay,payment:cards,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:diners_club,payment:discover_card,payment:electronic_purses,payment:girocard,payment:google_pay,payment:lightning,payment:lightning_contactless,payment:maestro,payment:mastercard,payment:none,payment:notes,payment:onchain,payment:qr_code,payment:satispay,payment:unionpay,payment:v_pay,payment:visa,phone,placement,platform:width,postal_code,preschool,product,public_transport,public_transport:version,railway,ref,ref:BLfD,ref:IFOPT,ref:vatin,ref_trips,reservation,roof:colour,roof:height,roof:levels,roof:material,roof:shape,room,route,route:category,seasonal,seats,second_hand,segregated,self_service,service:electricity,share_taxi,shelter,shisha,shop,short_name,shoulder,sidewalk,sidewalk:both,sidewalk:left,sidewalk:right,sidewalk:right:width,smoking,smoking:outside,smoothness,social_facility,social_facility:for,source,source:maxspeed,source_ref,sport,stars,start_date,station,subway,surface,tactile_paving,takeaway,temporary:amenity,terrace,theme,tmc,to,toilets,toilets:access,toilets:wheelchair,tourism,traffic_sign,train,tunnel,turn:lanes,type,unsigned,website,website:menu,wheelchair,wheelchair:description,width,wifi,wikidata,wikimedia_commons,wikipedia,yelp,zone:maxspeed,@geometry,geometry,city_source,source_crs
node/243934064,node/243934064,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-26,,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaxe Bar,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 17:00-05:00,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,POINT (11.562699 48.151457),Munich,EPSG:4326
way/245172381,way/245172381,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biergarten Truderinger Waldwirtschaft,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 11:00-24:00; Su 12:00-24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,center,POINT (11.710467 48.110916),Munich,EPSG:4326
way/248210286,way/248210286,,,,,,,,,,,,,,,yes,,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georg-Brauchle-Ring U1 Bahnsteig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,yes,,,,,,,,,,,,,,,,-3,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,Georg-Brauchle-Ring,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,platform,,platform,1;2,,de:09162:312:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,center,POINT (11.529061 48.177273),Munich,EPSG:4326
way/250757645,way/250757645,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Emanuel Brauerei Biergarten,,,,,,,,,,,,,,,,,,,,,"Apr-Oct: Mo-Su 11:00-23:00 open ""Biergarten und Wirtschaft"", Apr-Oct: Mo-Su 23:00-01:00 open ""Wirtschaft""; Nov-Mar: Mo-Su 17:00-01:00 open ""Wirtschaft"", Nov-Mar: Fr 22:00-03:00 open ""Salsa Abend bis ca. 03:00 Uhr""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (11.57623 48.152436),Munich,EPSG:4326
node/253247251,node/253247251,,,München,DE,,,78,,81737,Unterhachinger Straße,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,Forschungsbrauerei,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 11:00-23:00; Su, PH 10:00-22:00",,"We-Sa 11:00-20:30; Su,PH 11:00-20:00",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,Q1438023,,de:Forschungsbrauerei München,,,,POINT (11.624758 48.094186),Munich,EPSG:4326
node/254951783,node/254951783,,,,,,,,,,,,,,pub,,,,,,,,,Augustiner Bräu München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slot_machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 163 153 24 50,,,,,,,Pils-Pub Royal,,,,,,,,,,,,,,,,,,,,,,,,"Mo 11:30-21:30; Tu,We 11:30-22:00; Th off; Fr 11:30-22:00; Sa 11:00-22:00; Su 11:30-18:00",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 89 35 7472 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,"Mo-Su 11:30-14:30,17:00-19:30; Th off",,,,,,,,,,,,,,,,https://pilspubroyal.eatbu.com/?lang=de,,yes,,,,,,,,,,POINT (11.544358 48.199235),Munich,EPSG:4326
node/257005663,node/257005663,,,München,DE,,,2,,80937,Wenzelstraße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pizza Manufaktur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.5837 48.197629),Munich,EPSG:4326
way/257145852,way/257145852,,,München,,,,31,,81249,Mälzereistraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brewery,,,,,,,,,,,industrial,,,,,,,,,,,,,,works,,,,,,,,,,,,,,,,,Paulaner Brauerei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulaner Brauerei Gruppe GmbH & Co. KGaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.paulaner.de,,,,,,Q127305,,de:Paulaner (Brauerei),,,center,POINT (11.434888 48.176625),Munich,EPSG:4326
node/258189053,node/258189053,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caracciolastüberl,,,,,,,,,,,,,,,,,,,,,,,,Mo 10:00-00:00; Tu-Sa 10:00-01:00; Su 11:00-23:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,POINT (11.563009 48.207111),Munich,EPSG:4326
node/258189085,node/258189085,,,,,,,115,,,Weitlstraße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-24,,,,,,,,,,,,,,,,,,,,,,,,regional;german;bavarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slot_machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zum Kuckuck Nochmal,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-24:00; Su 10:00-22:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,billiards,,,,,,,,,,,,,,,,,,,,,,,https://zumkuckuck-nochmal.de/,,yes,,,,,,,,,,POINT (11.551927 48.208131),Munich,EPSG:4326
node/260431779,node/260431779,,,München,DE,,,173,,81547,Säbener Straße,,,,pub,,,,,,,,,Spatenbräu,,,,,,,,,,,,,,,,,,,2024-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zum Dachs,,,,,,,,,,,,,,,,,,,,,,,,Tu-Sa 11:00-21:00; Su 11:00-19:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,Kein Rollstuhl-WC vorhanden.,,,,,,,,,POINT (11.573636 48.094978),Munich,EPSG:4326
node/260796705,node/260796705,,,München,DE,0,,2,,81671,Anzinger Straße,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 17:00-21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,341780050688248,,,,,,,,,,,,,,,,Hendlglück Biergarten,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-22:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 89 400767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,https://hendlglueck.de/,,yes,,,,,,,,,,POINT (11.607181 48.120427),Munich,EPSG:4326
node/261052322,node/261052322,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-30,,2023-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buon Gusto,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:30-02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,POINT (11.5963 48.12387),Munich,EPSG:4326
node/261052433,node/261052433,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auerfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raucherclub,,,,limited,,,,,,,,,,POINT (11.59604 48.123812),Munich,EPSG:4326
node/263879617,node/263879617,,,,,,,7,,,Metzstraße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metz 7,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 11:30-23:00; Sa 17:00-24:00; Su off,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,POINT (11.596674 48.129069),Munich,EPSG:4326
node/263892675,node/263892675,,,München,DE,,,15,,81667,Pariser Straße,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monchalant,,,,,,,,,,,,,,,,,,,,Deli Kitchen Cafebar,,,,"We-Th 14:00-23:00; Fr,Sa 14:00-24:00; Su 14:00-22:00; Mo,Tu off",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.monchalant.de,,no,,,,,,,,,,POINT (11.597859 48.12703),Munich,EPSG:4326
node/263895499,node/263895499,,,München,DE,,,23,,81669,Balanstraße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-12,,,,,,,,,,,,,,,,,,,,,,tapas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bar Tapas Teatro,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 17:00-01:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.teatro-bar-tapas.de/,,yes,,,,,,,,,,POINT (11.595415 48.126513),Munich,EPSG:4326
node/264010830,node/264010830,,,München,,,,10,,81673,Echardinger Straße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echardinger Gartenlaube,,,,,,,,,,,,,,,,,,,,,,,,"Tu-Su,PH 11:30-22:00; Mo off",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 89 45344311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://echardingergartenlaube.de/,,,,,,,,,,,,POINT (11.62673 48.127016),Munich,EPSG:4326
node/264527916,node/264527916,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldwirtschaft Bienenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.395971 48.173259),Munich,EPSG:4326
node/264680687,node/264680687,,,München,DE,,,19,,81667,Breisacher Straße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@escobar-muenchen.de,,,,,+49 89 4480274,,,,,,,,,,,,,,,,,,,,,,,,"Su-Mo 17:00-01:00; Tu-Th 17:00-21:00,23:00-01:00; Fr-Sa 17:00-21:00,23:00-03:00",,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EscoBar,,,,,,,,,,,,,,,,,,,,,,,,"Su-Fr 17:00-01:00, Sa 17:00-03:00",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 89 485137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://escobar-muenchen.de/,,limited,,,,,,,,,,POINT (11.604833 48.130614),Munich,EPSG:4326
node/264680692,node/264680692,,,,,,,,,,,,,,pub,,,,,,,,,Hofbräu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ortakahve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,POINT (11.60248 48.133478),Munich,EPSG:4326
node/264745310,node/264745310,,,,,,,21,,,Kellerstraße,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molly Malone's,,,,,,,,,,,,,,,,,,,,,,,,"Mo-We 17:00-24:00, Th,Fr 17:00-01:00, Sa 14:00-01:00, Su 14:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irish,,,,,,,,,,,,,http://www.molly-malones.org/,,no,,,,,,,,,,POINT (11.594504 48.130871),Munich,EPSG:4326
node/266698116,node/266698116,,,München,DE,,,9,,81667,Sedanstraße,,no,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 89 48950154,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negroni,,,,,,,,,,,,,,,,,,,,,,,,Fr-Sa 18:00-01:30; Tu-Th 18:00-01:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://negronibar.de/,,no,,,,,,,,,,POINT (11.597415 48.130583),Munich,EPSG:4326
node/266698138,node/266698138,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Bodeguita,,,,,,,,,,,,,,,,,,,,,,,,Mo-Th 14:00-24:00; Fr-Su 14:00-02:00,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 1521 4643271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,POINT (11.597361 48.132543),Munich,EPSG:4326
node/266698146,node/266698146,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@barroom-muenchen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bar Room München,,,,,,,,,,,,,,,,,,,,,,,,Tu-Sa 20:00+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 89 44142762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.barroom-muenchen.de/,,no,,,,,,,,,,POINT (11.596842 48.131536),Munich,EPSG:4326
way/269170230,way/269170230,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,60,,,,,,,,,no,,,Georg-Brauchle-Ring,,,,Q108550,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,DE:35345/27965,,,,,,,,,left|through|through|through,,,,,,,,,Q1503345,,,,,center,POINT (11.530079 48.176517),Munich,EPSG:4326
