id,@id,FIXME,access,accommodation,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:postal_district,addr:postcode,addr:street,addr:substreet,addr:suburb,air_conditioning,alt_name,amenity,atm,branch,brand,brand:facebook,brand:instagram,brand:twitter,brand:website,brand:wikidata,brand:wikipedia,brand:youtube,brewery,building,building:colour,building:facade:material,building:levels,building:material,building:part,changing_table,check_date,check_date:diet:vegetarian,check_date:opening_hours,closed:amenity,cocktails,contact:email,contact:facebook,contact:instagram,contact:phone,contact:tiktok,contact:tripadvisor,contact:twitter,contact:website,contact:yelp,contact:youtube,craft,craft_beer,cuisine,description,description:it,diet:gluten_free,diet:vegan,diet:vegetarian,disused,disused:amenity,dog,drink:beer,drive_through,email,events_venue,fax,fireplace,fixme,food,former:name,games,heritage,indoor_seating,internet_access,internet_access:fee,internet_access:ssid,landuse,layer,level,lgbtq,live_music,mapillary,microbrewery,min_age,music_genre,name,name:en,name:ga,name:ko,name:zh,nohousenumber,not:brand:wikidata,note,old_name,old_name:2015,old_name:2017,old_name:2018,old_name_1,old_name_2,opening_hours,opening_hours:signed,operator,outdoor_seating,panoramax,payment:card,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,pets_allowed,phone,phone:mobile,product,real_ale,real_fire,ref:vatin,reservation,roof:colour,roof:material,roof:shape,shop,short_name,smoking,source,source:website,sport,start,start_date,takeaway,toilets,toilets:access,toilets:wheelchair,tourism,type,website,website:booking,website:menu,website:orders,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,year_built,@geometry,geometry,city_source,source_crs
way/281772553,way/281772553,,,,Dublin,,Dublin,,,57-58,,D02 RW67,York Street,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/The-Swan-Bar-216286108426166,,,,,The_Swan_Bar,,,,,,,,,,,,,,,,,info@theswanbar.com,,,,,,,,4,,,,,,,,,,,,,,The Swan,,,,,,,,,,,,,,,,,,,,,,,,,,+35314752722,,,,,,,,,,,,,,,,,,,,,,,,https://www.theswanbar.com/,,,,,,,,,,center,POINT (-6.265544 53.339627),Dublin,EPSG:4326
way/281772561,way/281772561,,,,Dublin,,Dublin,,,43,,D02 E983,Aungier Street,,,,,pub,,,,,,,,,,,,retail,,,4,brick,,,,,,,,,,,,,,,,,,,,,,,no,no,no,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,John O’Dywer’s,,,,,,,,The Lucky Duck;Aungier House,,,,,,,,,no,,,,,,,,,+35315585302,,,,,,,,,,,,no,,,,,1837,,,,,,,https://www.johnodwyer.ie/,,,,,,,,,,center,POINT (-6.265895 53.338483),Dublin,EPSG:4326
node/282342105,node/282342105,,,,Dublin,IE,,,,18,,,Lombard Street East,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/TheWindjammerPub/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Wind Jammer,,,,,,,A pub with an early license,,,,,,,Mo-Su 07:00-24:00,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,limited,,Q65330214,,,,,POINT (-6.248348 53.345276),Dublin,EPSG:4326
way/283771391,way/283771391,,,,Dublin,,Dublin,,,24-25,,D02 NP22,Camden Street Upper,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/thebleedinghorse,bleedinghorse,,,,,,,,,,,,,,yes,,,,,,,bookings@bleedinghorse.ie,,,,,yes,,,,,,,,,,,,,,,,,The Bleeding Horse,,,,,,,,,,,,,,,,,,,,,,,,,,+35314752705,,,,,,,,,,,,,,,,,,,,,,,,https://bleedinghorse.ie/,,,,,,,,,,center,POINT (-6.264726 53.333492),Dublin,EPSG:4326
way/289743485,way/289743485,,,,,,,,,,,,Finglas Road,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bottom of the Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.297078 53.38744),Dublin,EPSG:4326
way/291771732,way/291771732,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby Finnegan's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.330108 53.342604),Dublin,EPSG:4326
way/292185700,way/292185700,,,,Dublin,,Dublin,,,11,,D09 E9R3,Drumcondra Road Upper,,,,,pub,,,,,,,,,,,,retail,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millmount House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.255369 53.368917),Dublin,EPSG:4326
way/292185701,way/292185701,,,,Dublin,,Dublin,,,146,,D09 YR83,Drumcondra Road Lower,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fagan’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.25597 53.367468),Dublin,EPSG:4326
way/292692332,way/292692332,,,,Dublin,IE,Dublin,,,13,,D08 NRP3,High Street,,,,,pub,,,,,,,,,,,,retail,,,,,,,2026-04-10,,,,,,,https://www.instagram.com/thechristchurchdub/,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,The Christchurch,,,,,,,,The Christchurch Inn;The Beer Market;The Pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,center,POINT (-6.27331 53.343388),Dublin,EPSG:4326
way/294909021,way/294909021,,,,Dublin,,,,,,,,Rathmines Road Lower,,,,,biergarten,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,center,POINT (-6.264591 53.326997),Dublin,EPSG:4326
way/294962764,way/294962764,,,,Dublin,,Dublin,,,47-48,,D02 N725,Temple Bar,,,,,pub,,,,,,,,,,,,retail,,,,,,,2025-10-19,,,,,,TheTempleBarPub,thetemplebarpub,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,4,yes,,,,,,,,,,,,,The Temple Bar,The Temple Bar,,,圣殿酒吧,,,,,,,,,,Mo-Th 09:30-23:30; Fr 09:30-20:00; Sa 09:30-19:00; Su 11:00-23:30,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://thetemplebarpub.com,,https://thetemplebarpub.com/wp-content/uploads/2024/02/Temple-Bar-Food-Menu-2024.pdf,https://thetemplebarpubdublin.wi-q.com/service/1047,yes,,,,,,center,POINT (-6.264072 53.345459),Dublin,EPSG:4326
way/296152664,way/296152664,,,,Dublin,,Dublin,,,,,D11 WF9F,Seamus Ennis Road,,,,,pub,,,,,,,,,,,,retail,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shamrock Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.299886 53.390356),Dublin,EPSG:4326
way/296153007,way/296153007,,,,,,,,,,,,Jamestown Road,,,,,pub,,,,,,,,,,,various,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,The Full Shilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.298668 53.389585),Dublin,EPSG:4326
way/298356152,way/298356152,,,,Dublin,IE,Dublin,,,399,,D07 XR2H,Navan Road,,Ashtown,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halfway House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://halfwayhousedublin.com,,,,limited,,,,,,center,POINT (-6.331139 53.372445),Dublin,EPSG:4326
node/298721803,node/298721803,,,,Dublin,IE,Dublin,,,6,,D08 HX3K,Echlin Street,,,,The Harbour Bar,pub,,,,,,,,,,,,,,,,,,,2025-10-20,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,Harkin’s,,,,,,,,The Old Harbour,,,,,,,,,yes,,,,yes,yes,,,,+35315169601,,,,,,,,,,,,,,,,,,,,,,,,https://harkinsbar.ie,,,,,,,,,,,POINT (-6.288525 53.342499),Dublin,EPSG:4326
node/299224403,node/299224403,,,,Dublin,,Dublin,,,105-107,,D6W XN76,Terenure Road North,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaughan’s Eagle House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,POINT (-6.283245 53.310054),Dublin,EPSG:4326
node/299225092,node/299225092,,,,Dublin,,Dublin,,,5-9,,D6W TX40,Terenure Place,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brady’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,POINT (-6.284137 53.309805),Dublin,EPSG:4326
way/300187149,way/300187149,,,,Dublin,IE,Dublin,,,46,,D01 WV02,Amiens Street,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lloyd’s,,,,,,Q6662870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,center,POINT (-6.249272 53.352666),Dublin,EPSG:4326
way/302342924,way/302342924,,,,Dublin,IE,Dublin,,,122,,D11 TPN7,Ballygall Road West,,,,,pub,,,,,,,,,,,,retail,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.288044 53.390659),Dublin,EPSG:4326
node/303968050,node/303968050,,,,Dublin,,,,,81,,,Pearse Street,,,,,pub,,,,,,,,,,,,,,,,,,,2025-04-12,,,,,,https://www.facebook.com/PadraigPearsePub/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Padraig Pearse,Padraig Pearse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,POINT (-6.244742 53.343349),Dublin,EPSG:4326
node/305312829,node/305312829,,,,Dublin,IE,Dublin,,,14,,D07 YK6A,Ormond Quay Upper,,,,,pub,,,,,,,,,,,,,,,,,,,2025-10-18,,,,,,https://www.facebook.com/Sin.E.Pub,,,,,@sin_e_dublin,,,,,,,,,,,,,,,,,sinedublin1@gmail.com,,,,,,,,,,,,,,,,,,,,,,Sin É,,,,,,,,,,,,,,"Mo-We 15:00-01:00, Th 15:00-02:30, Fr-Sa 15:00-15:30, Su 15:00-01:00",,,,,,,,,,,,+353 1 555 4036,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.269599 53.345976),Dublin,EPSG:4326
node/306276661,node/306276661,,,,Dublin,,,,Tara Street Station,,,,George's Quay,,,,Sub Lounge,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Reilly's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,POINT (-6.254074 53.347097),Dublin,EPSG:4326
way/307149426,way/307149426,,,,Dublin,,Dublin,,,51,,D01 P6K1,Talbot Street,,,,,pub,,,,,,,,,,,,retail,,,,,,,2025-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,J.J. Grainger,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,center,POINT (-6.250403 53.351247),Dublin,EPSG:4326
way/307150002,way/307150002,,,,,,,,,,,,North Circular Road,,,,,pub,,,,,,,,,,,various,pub,,,2,,,,2025-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,Graingers Hanlons Corner,,,,,,,,Hanlon's,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.288762 53.357454),Dublin,EPSG:4326
way/307175604,way/307175604,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clarke's City Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.28809 53.356008),Dublin,EPSG:4326
way/308099353,way/308099353,,,,Dublin,IE,Dublin,,,1-2,,D07 V403,Aughrim Street,,Stoneybatter,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/kavanaghs.aughrimstreet,@kavanaghs_aughrimstreet,,,,@aughrimstreet,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,Kavanagh’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.285885 53.353372),Dublin,EPSG:4326
node/310408293,node/310408293,,,,Dublin,,Dublin,,,5-7,,D02 RH33,Christchurch Place,,,,,bar,,,,,,,,,,,various,,,,,,,,,,,,,,https://www.facebook.com/TheBullandCastlebyF.X.Buckley/,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,wlan,,,,,,,,,,,,The Bull & Castle Bar,,,,,,,,,,,,,,,,F.X. Buckley,yes,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,https://www.thebuckleycollection.ie/bull-castle-steakhouse,,,,no,,,,,,,POINT (-6.26987 53.343457),Dublin,EPSG:4326
way/310822756,way/310822756,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ringside Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.280086 53.33048),Dublin,EPSG:4326
node/311099928,node/311099928,,,,Dublin,IE,Dublin,,,,,D01 K5N8,Parnell Street,,,,The Woolshed,pub,,,,,,,,,,,,,,,,,,,2026-02-08,,,,yes,,https://www.facebook.com/Woolshed.Dublin,,,,,@woolshedbaa,,,,,,grill,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,Woolshed Baa & Grill,,,,,,,,,,,,,,Mo-Tu 12:00-23:30; We 12:00-02:30; Th 12:00-02:00; Fr-Sa 12:00-01:00; Su 12:00-23:00,,,,,,,,,,,,+35318724325,,,,,,,,,,,,,,,,,,,,,no,,,https://www.woolshedbaa.com/dublin,,,,limited,,,,,,,POINT (-6.267469 53.350267),Dublin,EPSG:4326
node/312565824,node/312565824,,,,Dublin,IE,Dublin,,,,,D04 N294,Bridge Street,,Ringsend,,,pub,,,,,,,,,,,,,,,,,,,2025-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,Oarsman,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,,,,,,,POINT (-6.227752 53.341667),Dublin,EPSG:4326
node/312566081,node/312566081,,,,Dublin,IE,Dublin,,,12-14,,D04 EH30,Bridge Street,,Ringsend,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Clarke and Sons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,POINT (-6.227584 53.341687),Dublin,EPSG:4326
node/312569767,node/312569767,,,,Dublin,IE,Dublin,,,74,,D04 Y230,Irishtown Road,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Vintage Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.222932 53.338688),Dublin,EPSG:4326
node/312569935,node/312569935,,,,Dublin,IE,Dublin,,,78–82,,D04 H6W7,Irishtown Road,,,,,pub,,,,,,,,,,,,,,,,,,,2025-07-05,,,,,,,,,,,@merrycobblerD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Merry Cobbler,The Merry Cobbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.2226 53.338584),Dublin,EPSG:4326
node/312574900,node/312574900,,,,Sandymount,,Dublin,,,1,,D04 PD83,Sandymount Green,,,,Ryan’s,pub,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/profile.php?id=100085808790710,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,Sandymount House,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.215278 53.332388),Dublin,EPSG:4326
node/312574927,node/312574927,,,,Sandymount,,Dublin,,,5,,D04 N840,Seafort Avenue,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,oreillyssandymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O’Reilly’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.215243 53.332825),Dublin,EPSG:4326
node/312576602,node/312576602,,,,Dublin,IE,Dublin,G,,34-36,D04,D04 C535,Merrion Road,,Ballsbridge,,,pub,,,,,,,,,,,,,,,,,,,2025-09-02,,,,,,,,,,,,,,,,,,,,,,no,,,,,,pubs@madigan.ie,,,,,yes,,,,yes,,,,,,0,,,,,,,Horse Show House,,,,,,,,,,,,,,,,Madigan’s,yes,,,yes,yes,yes,,,,+35316689424,,,,,,,,,,,,,,,,,,,,,,,,https://www.horseshowhouse.ie/,,https://www.horseshowhouse.ie/food-menu-horseshowhouse,,yes,,,,,,,POINT (-6.228928 53.32852),Dublin,EPSG:4326
node/312576639,node/312576639,,,,Dublin,IE,Dublin,,,14,,D04 Y0A9,Merrion Road,,Ballsbridge,,,pub,,,,,,,,,,,,,,,,,,,2023-04-07,,,,,,https://www.facebook.com/PaddyCullensPub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,Paddy Cullen,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.paddycullens.com/,,https://www.paddycullens.com/food/,,limited,,,,,,,POINT (-6.230281 53.329018),Dublin,EPSG:4326
node/312576904,node/312576904,,,,Dublin,IE,Dublin,,,12,,D04 T3Y7,Merrion Road,,Ballsbridge,,,pub,,,,,,,,,,,,,,,,,,,2025-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,Mary Mac’s,Mary Mac’s,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.paddycullens.com/,,https://www.paddycullens.com/food/,,yes,,,,,,,POINT (-6.230373 53.329048),Dublin,EPSG:4326
node/312577264,node/312577264,,,,Dublin,IE,Dublin,,,10,,D04 W6A0,Merrion Road,,Ballsbridge,,,pub,,,,,,,,,,,,,,,,,,,2025-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,Crowe’s,Crowe’s,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://crowespub.ie/,,http://crowespub.ie/dinner-menu/,,yes,,,,,,,POINT (-6.23056 53.329108),Dublin,EPSG:4326
way/313703366,way/313703366,,,,Killester,,Dublin,,,145-147,,D05 W827,Killester Avenue,,,,The Ramble Inn,pub,,,,,,,,,,,,retail,,,1,,,,,,,,,,https://www.facebook.com/TheRambleInnKillester/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ramble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grey,roof_tiles,gabled,,,outside,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.209496 53.375458),Dublin,EPSG:4326
way/313827641,way/313827641,,,,Raheny,,Dublin,,,411,,D05 Y1E5,Howth Road,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Watermill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.177125 53.379789),Dublin,EPSG:4326
way/313838456,way/313838456,,,,Raheny,,Dublin,,,3-5,,D05 T9K8,Station Road,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/themanhattanraheny,,,,,,,,,,,pizza;burger,,,,,,,,,,,hello@themanhattanraheny.ie,,,,,yes,,,,,,,,,,,,,,,,,The Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,+35318329603,,,,,,,,,,,,,,,,,,,,,yes,,,http://www.themanhattanraheny.ie,,,,yes,,,,,,center,POINT (-6.174772 53.380602),Dublin,EPSG:4326
way/313838460,way/313838460,,,,Raheny,,Dublin,,,9,,D05 E1W2,Main Street,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.174122 53.379915),Dublin,EPSG:4326
way/314051081,way/314051081,,,,,,,,,,,,Marino Mart,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martins Off License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol,,,,,,,,,,,,,,,,,,yes,,,,,,center,POINT (-6.232264 53.364284),Dublin,EPSG:4326
way/314103949,way/314103949,,,,Dublin,,Dublin,,,12,D03,D03 C998,Fairview,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,booking@strandhouse.ie,,,+353 1 559 1121,,,,https://strandhouse.ie,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,The Strand House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,center,POINT (-6.23579 53.363364),Dublin,EPSG:4326
way/314131921,way/314131921,,,,Dublin,,Dublin,,,5-6,D03,D03 Y013,Fairview,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaffney & Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,center,POINT (-6.23646 53.363048),Dublin,EPSG:4326
node/315252689,node/315252689,,,,Dublin,,Dublin,,,94-96,,D6W TY70,Terenure Road North,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,The Terenure Inn,,,,,,,,,,,,,,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:30-23:00",,,,,,,,,,,,+353 1 4907552,,,,,,,,,,,,,,,,,,,,,,,,https://theterenureinn.ie/,,,,yes,,,,,,,POINT (-6.283055 53.311356),Dublin,EPSG:4326
way/316971228,way/316971228,,,,Dublin,,Dublin,,The Gresham Hotel,20-23,,D01 C3W7,O'Connell Street Upper,,,,,bar,,,,,,,,,,,,retail,,,,,,,2025-10-18,,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,yes,,,,,,,,,,,,,Toddy’s Bar & Brasserie,,,,,,,"Building inscribed ""Established 1777 Rebuilt 1925"" on west facade.",,,,,,,,no,Gresham Hotel Group Limited,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,center,POINT (-6.260702 53.351864),Dublin,EPSG:4326
way/324346439,way/324346439,,,,Killester,,Dublin,,,179,,D03 R892,Howth Road,,,,Duignan’s,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Beachcomber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.206138 53.370699),Dublin,EPSG:4326
way/325131328,way/325131328,,,,Dublin,,Dublin,,,72-74,,D01 ND00,Parnell Street,,,,,pub,,,,,,,,,,,Guinness;various,retail,,,,,,,2025-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,4,yes,,,,,,,,,,,,,The Parnell Heritage Pub,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,https://parnellheritage.com,,,,yes,,,,,,center,POINT (-6.262011 53.352149),Dublin,EPSG:4326
node/335569489,node/335569489,,,,Dublin,,Dublin,,,207A,,D08 PN20,Emmet Road,,Inchicore,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Black Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.320806 53.33958),Dublin,EPSG:4326
node/335980359,node/335980359,,,,Dublin,,Dublin,,,,,D08 WT0A,Emmet Road,,Inchicore,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/The-Saint-Public-House-Inchicore-110645618401535,,,,,@TheSaintDublin8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Saint,,,,,,,,Timothy Crough’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-6.318691 53.339562),Dublin,EPSG:4326
